,CASE_ID,Age,Sex,Sex_Name,Seat,Seat_pos,Fatality,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,SchoolBus_involvement,Vehicle_withTrailers
0,10169,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10244,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10172,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10193,18,1,Male,11,"Front Seat, Left Side",11:00-11:59,0,0,4,2,0,0,0
0,10129,18,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10615,18,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10550,18,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10699,18,2,Female,11,"Front Seat, Left Side",4:00-4:59,0,0,4,1,1,0,0
0,10180,19,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10170,19,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10270,19,1,Male,11,"Front Seat, Left Side",18:00-18:59,0,0,4,1,1,0,0
0,10357,19,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10015,19,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10270,19,2,Female,11,"Front Seat, Left Side",20:00-20:59,9,9,4,1,0,0,0
0,10025,20,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10696,20,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10203,20,1,Male,11,"Front Seat, Left Side",0:00-0:59,1,9,4,1,0,0,0
