,CASE_ID,Age,Sex,Sex_Name,Seat,Seat_pos,Fatality,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,SchoolBus_involvement,Vehicle_withTrailers
0,10548,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10568,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10080,18,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,1,0,0
0,10544,18,1,Male,11,"Front Seat, Left Side",22:00-22:59,0,0,4,1,0,0,0
0,10284,18,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10504,18,2,Female,11,"Front Seat, Left Side",8:00-8:59,0,0,4,1,0,0,0
0,10391,19,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10377,19,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10749,19,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10007,19,1,Male,11,"Front Seat, Left Side",Unknown,1,0,4,1,1,0,0
0,10056,19,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10523,19,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,1,0,0
0,10193,19,2,Female,11,"Front Seat, Left Side",16:00-16:59,9,9,4,1,0,0,0
0,10323,20,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,1,0,0
0,10043,20,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10700,20,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10305,20,1,Male,11,"Front Seat, Left Side",7:00-7:59,9,9,4,1,0,0,0
0,10343,20,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10317,20,2,Female,11,"Front Seat, Left Side",Unknown,9,9,4,1,1,0,0
0,10113,21,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10032,21,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,1,3,0,0,0,0
0,10125,21,1,Male,11,"Front Seat, Left Side",20:00-20:59,9,9,4,1,0,0,0
0,10364,21,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10273,21,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,1,0,0
0,10697,21,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),8,8,3,0,0,0,0
0,10379,21,2,Female,11,"Front Seat, Left Side",1:00-1:59,9,9,4,1,0,0,0
