,State Case,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
0,10002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,10003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,10004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,10005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10006,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,10007,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,10008,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,10009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,10010,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,10011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,10013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,10014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,10015,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,10016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,10017,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,10018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,10019,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,10020,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,10021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,10022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,10023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,10024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,10025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,10026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,10027,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,10028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,10029,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,10030,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,10031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,10032,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,10033,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,10034,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,10035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,10036,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,10037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,10038,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,10039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,10040,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,10041,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,10042,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,10043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,10044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,10045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,10046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,10047,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,10048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,10049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,10050,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,10051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,10052,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,10053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,10054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,10055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,10056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,10057,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,10058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,10059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,10060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,10061,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,10062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,10063,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,10064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,10065,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
64,10066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,10067,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
66,10068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,10069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,10070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,10071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,10072,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,10073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,10074,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,10075,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
74,10076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,10077,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,10078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,10079,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,10080,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,10081,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,10082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,10083,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,10084,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,10085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,10086,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,10087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,10088,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,10089,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
88,10090,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,10091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,10092,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
91,10093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,10094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,10095,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,10096,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,10097,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,10098,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,10099,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,10100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,10101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,10102,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,10103,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,10104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,10105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,10106,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,10107,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
106,10108,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
107,10109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,10110,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,10111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,10112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,10113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,10114,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,10115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,10116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,10117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,10118,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,10119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,10120,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
119,10121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120,10122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,10123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,10124,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,10125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
124,10126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,10127,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,10128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,10129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128,10130,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,10131,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130,10132,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
131,10133,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,10134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,10135,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,10136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,10137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,10138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,10139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,10140,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
139,10141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,10142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,10143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
142,10144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
143,10145,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,10146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,10147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,10148,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
147,10149,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
148,10150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,10151,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,10152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,10153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,10154,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,10155,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
154,10156,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,10157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,10158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,10159,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
158,10160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,10161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,10162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,10163,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
162,10164,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,10165,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,10166,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,10167,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,10168,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
167,10169,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168,10170,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,10171,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,10172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
