,State Case,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
0,10002,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,10003,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,10004,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,10005,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10006,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,10007,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,10008,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,10009,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,10010,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,10011,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10012,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,10013,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,10014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,10015,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,10016,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,10017,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,10018,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,10019,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,10020,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,10021,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,10022,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,10023,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,10024,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,10025,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,10026,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,10027,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,10028,"Fog, Smog, Smoke",Daylight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,10029,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,10030,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,10031,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,10032,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,10033,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,10034,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,10035,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,10036,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,10037,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,10038,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,10039,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,10040,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,10041,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
